rowId,source,campaign,startDate,endDate,nonSuspect,highRisk,suspect,total,clickClean,clickTotal,discrepancy,salesClean,salesTotal,prebidClean,prebidTotal,clickSuspect,salesSuspect,prebidSuspect,clickHighRisk,salesHighRisk,prebidHighRisk,nonSuspectRatio,suspectRatio,highRiskRatio,totalRisk,totalRiskRatio,clickCleanRatio,clickTotalRisk,clickTotalRiskRatio,clickRate,trueClickRate,discrepancyRatio,salesCleanRatio,salesTotalRisk,salesTotalRiskRatio,salesRate,prebidCleanRatio,prebidTotalRisk,prebidTotalRiskRatio,clickSuspectRatio,salesSuspectRatio,prebidSuspectRatio,clickHighRiskRatio,salesHighRiskRatio,prebidHighRiskRatio,rcDeviceReputationRatio,rcIpReputationRatio,rcProxyRatio,rcSpoofedRatio,rcHostingProviderRatio,rcAutomatedTrafficRatio,rcIdentifiedCrawlerRatio,mobileAttributionRiskRatio,totalAttributionRisk,highAttributionRisk,domain,subsource,sourceId,campaignId
1,5308,966,2017-03-17,2017-03-17,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hpredirect,5308,966
2,6189,871,2017-03-16,2017-03-16,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6189,871
3,5468,769,2017-03-12,2017-03-12,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,an,5468,769
4,5468,1042,2017-03-12,2017-03-13,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,latl,5468,1042
5,5308,964,2017-04-09,2017-04-09,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,consumerinjurylaw.com,hpredirect,5308,964
6,5468,1039,2017-03-17,2017-03-17,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,googlesyndication.com,latl,5468,1039
7,5468,769,2017-03-14,2017-03-14,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,an,5468,769
8,5308,871,2017-03-29,2017-03-29,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,consumerinjurylaw.com,hpredirect,5308,871
9,5460,988,2017-03-31,2017-03-31,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,facebook.com,1849513920,5460,988
10,6180,1068,2017-03-15,2017-03-15,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,google.ae,,6180,1068
11,5308,481,2017-03-23,2017-03-23,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hpredirect,5308,481
12,5468,1077,2017-04-10,2017-04-10,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,latl,5468,1077
13,5308,256,2017-03-24,2017-04-07,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,consumerinjurylaw.com,hpredirect,5308,256
14,5308,256,2017-03-17,2017-03-22,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hpredirect,5308,256
15,5308,427,2017-03-24,2017-03-24,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,consumerinjurylaw.com,hpredirect,5308,427
16,5460,988,2017-03-22,2017-03-22,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,facebook.com,1849058731,5460,988
17,6157,1058,2017-03-27,2017-03-29,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,conversationshipment.com,690082,6157,1058
18,6136,256,2017-04-07,2017-04-07,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,consumerinjurylaw.com,680084,6136,256
19,6157,1058,2017-03-12,2017-03-12,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,diluteinhibition.com,690064,6157,1058
20,6180,1068,2017-03-13,2017-03-14,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,googleadservices.com,,6180,1068
21,5308,871,2017-03-16,2017-03-16,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,hpredirect,5308,871
22,5468,964,2017-03-19,2017-04-09,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,latl,5468,964
23,5468,256,2017-03-16,2017-03-16,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,hafiflegal.com,bl,5468,256
24,5468,871,2017-03-16,2017-04-06,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,sn,5468,871
25,5308,871,2017-03-16,2017-03-22,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hpredirect,5308,871
26,6170,1055,2017-03-27,2017-03-29,16,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,enrichedsupplies.com,1565,6170,1055
27,5468,1067,2017-03-13,2017-03-25,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,bl,5468,1067
28,5393,1055,2017-03-12,2017-03-15,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,v0ij.com,55738,5393,1055
29,6185,1058,2017-04-07,2017-04-07,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1206,6185,1058
30,6170,1058,2017-03-18,2017-04-08,13,0,6,19,0,0,19,13,19,0,0,0,6,0,0,0,0,0.684211,0.315789,0,6,0.315789,0,0,0,0,0,1,0.684211,6,0.315789,1,0,0,0,0,0.315789,0,0,0,0,0,0.0526316,0,0,0.315789,0,0,,,,sweettipgroup.com,1559,6170,1058
31,6006,1039,2017-03-22,2017-04-08,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,lawinfo.com,res,6006,1039
32,5468,1039,2017-03-12,2017-04-09,151,2,4,157,0,0,157,151,157,0,0,0,4,0,0,2,0,0.961783,0.0254777,0.0127389,6,0.0382166,0,0,0,0,0,1,0.961783,6,0.0382166,1,0,0,0,0,0.0254777,0,0,0.0127389,0,0,0.0318471,0,0,0.00636943,0.00636943,0,,,,findlaw.com,sl,5468,1039
33,5468,256,2017-03-13,2017-03-13,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,sl,5468,256
